SEARCH,YEARS,PATTRN,HASHfile
memcpy, 2003 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/cf1bc6a57799fd6a0fa8d0aeb048730d3e541349233524d8330eccf05c11eb9b
memcpy, 2018 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/cbc8ab72130a0fa579bdcf79da7aea610c9099f538ae7a85f108a543219233a8
strcmp, 2010 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/c246a79f8298ed51a68b25c484ded9ac02fd0d23590739df94414f317e041c1d
strncmp, 2005 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/c983f995d3998fe72f23bef0331ca09e6e1c8ad3b1709657ba1bc5b574f2c1d2
memcmp, 2016 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/ce59c2fb8c4b30800f38bbea72b03d1712c7feee79b58dc664d486d9f13162d2
strtok, 2019 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/c4cae378304aaa17605a0b110f52f61107472bf67e76152ce1ba5aed49581262
memcpy, 2017 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/c29b329f0653d8c02bcff8c1951e5187649efdfadbf8675956edfa888bf21f68
strcmp, 2016 2019 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/c06add417e9a04cc387522a92869051fece6c47a5b4a09d54c326cf62807c3de
memcpy, 2012 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/c3459d508652d053a6f60d9a9ab13d643bb2eefeac7cd3362a9dda9a9f9d0a71
memcpy, 2018 ,memcpy|memmove|memcmp|memicmp|strstr|strspn|strtok|strcmp|strncmp|wcscmp|stricmp|wcsncmp,/tmp/work/c/caa9f7fe56545d9010aa858e58e63620f3e007b9a8a234ac010e7f10108b85f9
